date,market_type,contracts
2025-11-06,Motorsport,116013
2025-11-06,Other,549061
2025-11-06,Over/Under,2737193
2025-11-06,Parlay (correlated),5056634
2025-11-06,Parlay (independent),1265635
2025-11-06,Player Prop,921308
2025-11-06,Spread,6547773
2025-11-07,Esports,411226
2025-11-07,Futures/Award,2468532
2025-11-07,Game Prop,801
2025-11-07,Mention,10165
2025-11-07,Moneyline,94730082
2025-11-07,Motorsport,258581
2025-11-07,Other,791027
2025-11-07,Over/Under,1889183
2025-11-07,Parlay (correlated),154325
2025-11-07,Parlay (independent),1257955
2025-11-07,Player Prop,19104
2025-11-07,Spread,2285415
2025-11-08,Esports,398419
2025-11-08,Futures/Award,3029041
2025-11-08,Game Prop,24049
2025-11-08,Mention,32919
2025-11-08,Moneyline,242678067
2025-11-08,Motorsport,536545
2025-11-08,Other,431082
2025-11-08,Over/Under,4173844
2025-11-08,Parlay (correlated),2016918
2025-11-08,Parlay (independent),2441128
2025-11-08,Player Prop,147127
2025-11-08,Spread,6590462
2025-11-09,Esports,1128137
2025-11-09,Futures/Award,5104558
2025-11-09,Game Prop,14997
2025-11-09,Mention,45388
2025-11-09,Moneyline,238688075
2025-11-09,Motorsport,1012780
2025-11-09,Other,228374
2025-11-09,Over/Under,10564599
2025-11-09,Parlay (correlated),11370108
2025-11-09,Parlay (independent),7176557
2025-11-09,Parlay (pending),15
2025-11-09,Player Prop,2768144
2025-11-09,Spread,22547768
2025-11-10,Esports,25958
2025-11-10,Futures/Award,3276324
2025-11-10,Mention,314524
2025-11-10,Moneyline,94835241
2025-11-10,Motorsport,75222
2025-11-10,Other,506828
2025-11-10,Over/Under,2763720
2025-11-10,Parlay (correlated),5954901
2025-11-10,Parlay (independent),4
2025-11-10,Player Prop,1152194
2025-11-10,Spread,4212789
2025-11-11,Esports,86457
2025-11-11,Futures/Award,2274018
2025-11-11,Mention,31544
2025-11-11,Moneyline,98215836
2025-11-11,Motorsport,124331
2025-11-11,Other,461560
2025-11-11,Over/Under,1892567
2025-11-11,Parlay (correlated),48576
2025-11-11,Parlay (independent),622494
2025-11-11,Player Prop,1068
2025-11-11,Spread,1520110
2025-11-12,Esports,669634
2025-11-12,Futures/Award,2895157
2025-11-12,Mention,4273
2025-11-12,Moneyline,97758010
2025-11-12,Motorsport,61464
2025-11-12,Other,551015
2025-11-12,Over/Under,2285037
2025-11-12,Parlay (correlated),144314
2025-11-12,Parlay (independent),1169846
2025-11-12,Player Prop,39464
2025-11-12,Spread,2035632
2025-11-13,Esports,460938
2025-11-13,Futures/Award,3742694
2025-11-13,Mention,4851
2025-11-13,Moneyline,82673828
2025-11-13,Motorsport,71420
2025-11-13,Other,851100
2025-11-13,Over/Under,2772510
2025-11-13,Parlay (correlated),4775052
2025-11-13,Parlay (independent),1606786
2025-11-13,Parlay (pending),5942
2025-11-13,Player Prop,929929
2025-11-13,Spread,3861327
2025-11-14,Esports,543200
2025-11-14,Futures/Award,2558366
2025-11-14,Mention,12467
2025-11-14,Moneyline,104893216
2025-11-14,Motorsport,50963
2025-11-14,Other,496295
2025-11-14,Over/Under,1979666
2025-11-14,Parlay (correlated),559118
2025-11-14,Parlay (independent),1863141
2025-11-14,Player Prop,11578
2025-11-14,Spread,2244329
2025-11-15,Esports,541252
2025-11-15,Futures/Award,3140051
2025-11-15,Mention,5899
2025-11-15,Moneyline,241385793
2025-11-15,Motorsport,51012
2025-11-15,Other,460597
2025-11-15,Over/Under,3535852
2025-11-15,Parlay (correlated),2687000
2025-11-15,Parlay (independent),3147767
2025-11-15,Player Prop,359763
2025-11-15,Spread,5844753
2025-11-16,Esports,67051
2025-11-16,Futures/Award,4745711
2025-11-16,Mention,50605
2025-11-16,Moneyline,244632040
2025-11-16,Motorsport,106624
2025-11-16,Other,479950
2025-11-16,Over/Under,13099077
2025-11-16,Parlay (correlated),9514150
2025-11-16,Parlay (independent),9248256
2025-11-16,Player Prop,4061036
2025-11-16,Spread,19848596
2025-11-17,Esports,57468
2025-11-17,Futures/Award,2657120
2025-11-17,Mention,555376
2025-11-17,Moneyline,77523685
2025-11-17,Motorsport,127407
2025-11-17,Other,606411
2025-11-17,Over/Under,5253456
2025-11-17,Parlay (correlated),4308212
2025-11-17,Parlay (independent),187
2025-11-17,Player Prop,925990
2025-11-17,Spread,6514211
2025-11-18,Esports,215888
2025-11-18,Futures/Award,2348098
2025-11-18,Game Prop,2617
2025-11-18,Mention,186360
2025-11-18,Moneyline,79826002
2025-11-18,Motorsport,129476
2025-11-18,Other,620934
2025-11-18,Over/Under,1811888
2025-11-18,Parlay (correlated),615038
2025-11-18,Parlay (independent),574579
2025-11-18,Player Prop,86840
2025-11-18,Spread,1799512
2025-11-19,Esports,38774
2025-11-19,Futures/Award,2559627
2025-11-19,Game Prop,19674
2025-11-19,Mention,4544
2025-11-19,Moneyline,85214154
2025-11-19,Motorsport,93537
2025-11-19,Other,475757
2025-11-19,Over/Under,2091632
2025-11-19,Parlay (correlated),1170195
2025-11-19,Parlay (independent),1786114
2025-11-19,Player Prop,148402
2025-11-19,Spread,2172792
2025-11-20,Esports,38593
2025-11-20,Futures/Award,4034313
2025-11-20,Game Prop,245177
2025-11-20,Mention,11247
2025-11-20,Moneyline,97559245
2025-11-20,Motorsport,421767
2025-11-20,Other,889130
2025-11-20,Over/Under,6197129
2025-11-20,Parlay (correlated),4739410
2025-11-20,Parlay (independent),1715429
2025-11-20,Player Prop,1155309
2025-11-20,Spread,7098861
2025-11-21,Esports,24957
2025-11-21,Futures/Award,2816621
2025-11-21,Game Prop,62409
2025-11-21,Mention,20429
2025-11-21,Moneyline,101653985
2025-11-21,Motorsport,585540
2025-11-21,Other,1170700
2025-11-21,Over/Under,1980754
2025-11-21,Parlay (correlated),955593
2025-11-21,Parlay (independent),2515950
2025-11-21,Parlay (pending),67474
2025-11-21,Player Prop,184664
2025-11-21,Spread,2087943
2025-11-22,Esports,21156
2025-11-22,Futures/Award,2959296
2025-11-22,Game Prop,74480
2025-11-22,Mention,112117
2025-11-22,Moneyline,213595719
2025-11-22,Motorsport,2141817
2025-11-22,Other,669848
2025-11-22,Over/Under,8637520
2025-11-22,Parlay (correlated),2327974
2025-11-22,Parlay (independent),2933389
2025-11-22,Parlay (pending),18938
2025-11-22,Player Prop,341538
2025-11-22,Spread,11472837
2025-11-23,Esports,63596
2025-11-23,Futures/Award,3821906
2025-11-23,Game Prop,11218
2025-11-23,Mention,90224
2025-11-23,Moneyline,210421740
2025-11-23,Motorsport,807937
2025-11-23,Other,480014
2025-11-23,Over/Under,14323741
2025-11-23,Parlay (correlated),11360825
2025-11-23,Parlay (independent),9517087
2025-11-23,Parlay (pending),34208
2025-11-23,Player Prop,2747379
2025-11-23,Spread,22810172
2025-11-24,Esports,373950
2025-11-24,Futures/Award,2641151
2025-11-24,Game Prop,16548
2025-11-24,Mention,339064
2025-11-24,Moneyline,84955017
2025-11-24,Motorsport,170113
2025-11-24,Other,525177
2025-11-24,Over/Under,5629901
2025-11-24,Parlay (correlated),4621759
2025-11-24,Parlay (independent),997974
2025-11-24,Parlay (pending),149426
2025-11-24,Player Prop,1188560
2025-11-24,Spread,7837841
2025-11-25,Esports,421893
2025-11-25,Futures/Award,2202497
2025-11-25,Game Prop,16758
2025-11-25,Mention,103331
2025-11-25,Moneyline,84559213
2025-11-25,Motorsport,156537
2025-11-25,Other,628500
2025-11-25,Over/Under,3238722
2025-11-25,Parlay (correlated),1158742
2025-11-25,Parlay (independent),1190454
2025-11-25,Parlay (pending),863788
2025-11-25,Player Prop,122732
2025-11-25,Spread,3533504
2025-11-26,Esports,584921
2025-11-26,Futures/Award,1795562
2025-11-26,Game Prop,26103
2025-11-26,Mention,77928
2025-11-26,Moneyline,114953886
2025-11-26,Motorsport,144514
2025-11-26,Other,698471
2025-11-26,Over/Under,3025429
2025-11-26,Parlay (correlated),3624655
2025-11-26,Parlay (independent),2775092
2025-11-26,Parlay (pending),1562263
2025-11-26,Player Prop,347605
2025-11-26,Spread,3118666
2025-11-27,Esports,52050
2025-11-27,Futures/Award,2125818
2025-11-27,Game Prop,80
2025-11-27,Mention,514181
2025-11-27,Moneyline,181870408
2025-11-27,Motorsport,156755
2025-11-27,Other,619133
2025-11-27,Over/Under,17259600
2025-11-27,Parlay (correlated),17219968
2025-11-27,Parlay (independent),5677654
2025-11-27,Parlay (pending),11122626
2025-11-27,Player Prop,3415896
2025-11-27,Spread,24023971
2025-11-28,Esports,43691
2025-11-28,Futures/Award,2538353
2025-11-28,Game Prop,1811
2025-11-28,Mention,100867
2025-11-28,Moneyline,197952803
2025-11-28,Motorsport,331189
2025-11-28,Other,1605168
2025-11-28,Over/Under,13602060
2025-11-28,Parlay (correlated),7497603
2025-11-28,Parlay (independent),4606469
2025-11-28,Parlay (pending),667870
2025-11-28,Player Prop,1208036
2025-11-28,Spread,20179496
2025-11-29,Esports,439924
2025-11-29,Futures/Award,3407930
2025-11-29,Game Prop,28079
2025-11-29,Mention,708266
2025-11-29,Moneyline,226797933
2025-11-29,Motorsport,596962
2025-11-29,Other,1800487
2025-11-29,Over/Under,13691576
2025-11-29,Parlay (correlated),3061976
2025-11-29,Parlay (independent),5239331
2025-11-29,Parlay (pending),316704
2025-11-29,Player Prop,320948
2025-11-29,Spread,26661979
2025-11-30,Esports,275182
2025-11-30,Futures/Award,3687644
2025-11-30,Game Prop,37511
2025-11-30,Mention,91940
2025-11-30,Moneyline,202935404
2025-11-30,Motorsport,1796034
2025-11-30,Other,1341090
2025-11-30,Over/Under,15524803
2025-11-30,Parlay (correlated),14385551
2025-11-30,Parlay (independent),14363770
2025-11-30,Parlay (pending),3746683
2025-11-30,Player Prop,3296543
2025-11-30,Spread,33681601
2025-12-01,Esports,1149846
2025-12-01,Futures/Award,3556869
2025-12-01,Game Prop,14171
2025-12-01,Mention,755882
2025-12-01,Moneyline,94992738
2025-12-01,Motorsport,180777
2025-12-01,Other,1885068
2025-12-01,Over/Under,5573056
2025-12-01,Parlay (correlated),7421984
2025-12-01,Parlay (independent),1986518
2025-12-01,Parlay (pending),451201
2025-12-01,Player Prop,1683585
2025-12-01,Spread,9417665
2025-12-02,Esports,820601
2025-12-02,Futures/Award,4692372
2025-12-02,Game Prop,66163
2025-12-02,Mention,326915
2025-12-02,Moneyline,84704677
2025-12-02,Motorsport,217746
2025-12-02,Other,1586456
2025-12-02,Over/Under,2781024
2025-12-02,Parlay (correlated),1786175
2025-12-02,Parlay (independent),2821131
2025-12-02,Parlay (pending),2862
2025-12-02,Player Prop,161914
2025-12-02,Spread,3028275
2025-12-03,Esports,273031
2025-12-03,Futures/Award,3289959
2025-12-03,Game Prop,46985
2025-12-03,Mention,334648
2025-12-03,Moneyline,108635919
2025-12-03,Motorsport,222792
2025-12-03,Other,1082658
2025-12-03,Over/Under,2474880
2025-12-03,Parlay (correlated),2406024
2025-12-03,Parlay (independent),3561883
2025-12-03,Parlay (pending),89816
2025-12-03,Player Prop,197678
2025-12-03,Spread,2696884
2025-12-04,Esports,1990533
2025-12-04,Futures/Award,3757437
2025-12-04,Game Prop,38403
2025-12-04,Mention,1190403
2025-12-04,Moneyline,98646649
2025-12-04,Motorsport,179299
2025-12-04,Other,1095593
2025-12-04,Over/Under,5003699
2025-12-04,Parlay (correlated),9028676
2025-12-04,Parlay (independent),3452369
2025-12-04,Parlay (pending),703733
2025-12-04,Player Prop,1503113
2025-12-04,Spread,9166209
2025-12-05,Esports,3600187
2025-12-05,Futures/Award,4477342
2025-12-05,Game Prop,19080
2025-12-05,Mention,336322
2025-12-05,Moneyline,93607574
2025-12-05,Motorsport,366992
2025-12-05,Other,1219843
2025-12-05,Over/Under,4986321
2025-12-05,Parlay (correlated),2745925
2025-12-05,Parlay (independent),6038723
2025-12-05,Parlay (pending),166576
2025-12-05,Player Prop,245238
2025-12-05,Spread,6286933
2025-12-06,Esports,1723502
2025-12-06,Futures/Award,8738846
2025-12-06,Game Prop,44373
2025-12-06,Mention,663114
2025-12-06,Moneyline,183744226
2025-12-06,Motorsport,1059214
2025-12-06,Other,737806
2025-12-06,Over/Under,13133395
2025-12-06,Parlay (correlated),3672795
2025-12-06,Parlay (independent),4919879
2025-12-06,Parlay (pending),120784
2025-12-06,Player Prop,296689
2025-12-06,Spread,22121797
2025-12-07,Esports,1108502
2025-12-07,Futures/Award,11728475
2025-12-07,Game Prop,17817
2025-12-07,Mention,1185688
2025-12-07,Moneyline,211155192
2025-12-07,Motorsport,1712908
2025-12-07,Other,775945
2025-12-07,Over/Under,16766233
2025-12-07,Parlay (correlated),18464747
2025-12-07,Parlay (independent),17611632
2025-12-07,Parlay (pending),3881540
2025-12-07,Player Prop,3510326
2025-12-07,Spread,31264611
2025-12-08,Esports,105885
2025-12-08,Futures/Award,4427823
2025-12-08,Game Prop,44224
2025-12-08,Mention,1144849
2025-12-08,Moneyline,94834005
2025-12-08,Motorsport,46
2025-12-08,Other,599545
2025-12-08,Over/Under,6456539
2025-12-08,Parlay (correlated),7827244
2025-12-08,Parlay (independent),801919
2025-12-08,Parlay (pending),988520
2025-12-08,Player Prop,1376690
2025-12-08,Spread,7700819
2025-12-09,Esports,124848
2025-12-09,Futures/Award,4935559
2025-12-09,Game Prop,86444
2025-12-09,Mention,389430
2025-12-09,Moneyline,87033995
2025-12-09,Motorsport,15
2025-12-09,Other,363803
2025-12-09,Over/Under,3264717
2025-12-09,Parlay (correlated),2099258
2025-12-09,Parlay (independent),1817939
2025-12-09,Parlay (pending),6103
2025-12-09,Player Prop,190521
2025-12-09,Spread,3188789
2025-12-10,Esports,642303
2025-12-10,Futures/Award,3493156
2025-12-10,Game Prop,63150
2025-12-10,Mention,427678
2025-12-10,Moneyline,77787190
2025-12-10,Motorsport,4
2025-12-10,Other,841169
2025-12-10,Over/Under,2986619
2025-12-10,Parlay (correlated),3594763
2025-12-10,Parlay (independent),2410721
2025-12-10,Parlay (pending),110310
2025-12-10,Player Prop,187108
2025-12-10,Spread,3134189
2025-12-11,Esports,3042581
2025-12-11,Futures/Award,3505200
2025-12-11,Game Prop,15814
2025-12-11,Mention,1002263
2025-12-11,Moneyline,94014718
2025-12-11,Other,1329305
2025-12-11,Over/Under,6525952
2025-12-11,Parlay (correlated),11136503
2025-12-11,Parlay (independent),3480577
2025-12-11,Parlay (pending),718773
2025-12-11,Player Prop,1354801
2025-12-11,Spread,9314981
2025-12-12,Esports,4510509
2025-12-12,Futures/Award,2946819
2025-12-12,Game Prop,55585
2025-12-12,Mention,287766
2025-12-12,Moneyline,84215121
2025-12-12,Other,2021321
2025-12-12,Over/Under,5096830
2025-12-12,Parlay (correlated),4428993
2025-12-12,Parlay (independent),5991155
2025-12-12,Parlay (pending),302827
2025-12-12,Player Prop,295701
2025-12-12,Spread,4920637
2025-12-13,Esports,2468488
2025-12-13,Futures/Award,3862855
2025-12-13,Game Prop,81580
2025-12-13,Mention,746596
2025-12-13,Moneyline,158412538
2025-12-13,Other,2287493
2025-12-13,Over/Under,10159264
2025-12-13,Parlay (correlated),6863152
2025-12-13,Parlay (independent),5935021
2025-12-13,Parlay (pending),311893
2025-12-13,Player Prop,451253
2025-12-13,Spread,10692606
2025-12-14,Esports,1619770
2025-12-14,Futures/Award,4294079
2025-12-14,Game Prop,56733
2025-12-14,Mention,2178562
2025-12-14,Moneyline,209792307
2025-12-14,Other,1134650
2025-12-14,Over/Under,19504628
2025-12-14,Parlay (correlated),24046075
2025-12-14,Parlay (independent),20353451
2025-12-14,Parlay (pending),4867383
2025-12-14,Player Prop,3895607
2025-12-14,Spread,30443418
2025-12-15,Esports,736209
2025-12-15,Futures/Award,3206070
2025-12-15,Game Prop,35267
2025-12-15,Mention,1179198
2025-12-15,Moneyline,80585117
2025-12-15,Other,991606
2025-12-15,Over/Under,8630418
2025-12-15,Parlay (correlated),11334383
2025-12-15,Parlay (independent),2770373
2025-12-15,Parlay (pending),768020
2025-12-15,Player Prop,1693386
2025-12-15,Spread,9456218
2025-12-16,Esports,111947
2025-12-16,Futures/Award,24650926
2025-12-16,Game Prop,54760
2025-12-16,Mention,552193
2025-12-16,Moneyline,71474442
2025-12-16,Other,1330081
2025-12-16,Over/Under,4531281
2025-12-16,Parlay (correlated),3002242
2025-12-16,Parlay (independent),2224970
2025-12-16,Parlay (pending),7434
2025-12-16,Player Prop,214569
2025-12-16,Spread,3847025
2025-12-17,Esports,514875
2025-12-17,Futures/Award,2750293
2025-12-17,Game Prop,87546
2025-12-17,Mention,141418
2025-12-17,Moneyline,91200334
2025-12-17,Other,742549
2025-12-17,Over/Under,5816355
2025-12-17,Parlay (correlated),2995322
2025-12-17,Parlay (independent),2784551
2025-12-17,Parlay (pending),79105
2025-12-17,Player Prop,179243
2025-12-17,Spread,5631183
2025-12-18,Esports,332536
2025-12-18,Futures/Award,3306545
2025-12-18,Game Prop,565913
2025-12-18,Mention,777518
2025-12-18,Moneyline,142564336
2025-12-18,Other,688103
2025-12-18,Over/Under,8058606
2025-12-18,Parlay (correlated),14304542
2025-12-18,Parlay (independent),5950572
2025-12-18,Parlay (pending),614806
2025-12-18,Player Prop,2422860
2025-12-18,Spread,9089187
2025-12-19,Esports,281352
2025-12-19,Futures/Award,4307417
2025-12-19,Game Prop,15269572
2025-12-19,Mention,372253
2025-12-19,Moneyline,192855249
2025-12-19,Other,2051570
2025-12-19,Over/Under,9345002
2025-12-19,Parlay (correlated),7814443
2025-12-19,Parlay (independent),7377195
2025-12-19,Parlay (pending),1598976
2025-12-19,Player Prop,423328
2025-12-19,Spread,10727625
2025-12-20,Esports,221214
2025-12-20,Futures/Award,3698640
2025-12-20,Game Prop,428483
2025-12-20,Mention,1395211
2025-12-20,Moneyline,227685321
2025-12-20,Other,1969203
2025-12-20,Over/Under,18978417
2025-12-20,Parlay (correlated),23616164
2025-12-20,Parlay (independent),11867466
2025-12-20,Parlay (pending),5019241
2025-12-20,Player Prop,4133832
2025-12-20,Spread,26539911
2025-12-21,Esports,181864
2025-12-21,Futures/Award,5622483
2025-12-21,Game Prop,107650
2025-12-21,Mention,1913948
2025-12-21,Moneyline,232292142
2025-12-21,Other,798442
2025-12-21,Over/Under,20342830
2025-12-21,Parlay (correlated),38835134
2025-12-21,Parlay (independent),26124388
2025-12-21,Parlay (pending),6110194
2025-12-21,Player Prop,9928786
2025-12-21,Spread,28560075
2025-12-22,Esports,26532
2025-12-22,Futures/Award,3790998
2025-12-22,Game Prop,52856
2025-12-22,Mention,1391988
2025-12-22,Moneyline,98155361
2025-12-22,Other,1209683
2025-12-22,Over/Under,10734629
2025-12-22,Parlay (correlated),20172300
2025-12-22,Parlay (independent),5147239
2025-12-22,Parlay (pending),1713567
2025-12-22,Player Prop,5434460
2025-12-22,Spread,16236313
2025-12-23,Esports,26735
2025-12-23,Futures/Award,3200653
2025-12-23,Game Prop,144836
2025-12-23,Mention,902363
2025-12-23,Moneyline,129781281
2025-12-23,Other,1078923
2025-12-23,Over/Under,12507223
2025-12-23,Parlay (correlated),7401886
2025-12-23,Parlay (independent),10762314
2025-12-23,Parlay (pending),461555
2025-12-23,Player Prop,562431
2025-12-23,Spread,15116017
2025-12-24,Esports,87596
2025-12-24,Futures/Award,3250837
2025-12-24,Game Prop,2360
2025-12-24,Mention,1106151
2025-12-24,Moneyline,61448922
2025-12-24,Other,1127415
2025-12-24,Over/Under,6427381
2025-12-24,Parlay (correlated),8476165
2025-12-24,Parlay (independent),5913306
2025-12-24,Parlay (pending),1414592
2025-12-24,Player Prop,780509
2025-12-24,Spread,5582216
2025-12-25,Esports,41582
2025-12-25,Futures/Award,2485678
2025-12-25,Game Prop,1475
2025-12-25,Mention,3148556
2025-12-25,Moneyline,165205073
2025-12-25,Other,588797
2025-12-25,Over/Under,18165084
2025-12-25,Parlay (correlated),42000546
2025-12-25,Parlay (independent),15820626
2025-12-25,Parlay (pending),7860640
2025-12-25,Player Prop,12178234
2025-12-25,Spread,30825029
2025-12-26,Esports,44963
2025-12-26,Futures/Award,2574032
2025-12-26,Game Prop,50860
2025-12-26,Mention,973445
2025-12-26,Moneyline,138969777
2025-12-26,Other,1168999
2025-12-26,Over/Under,15861821
2025-12-26,Parlay (correlated),8610077
2025-12-26,Parlay (independent),8381833
2025-12-26,Parlay (pending),550164
2025-12-26,Player Prop,903676
2025-12-26,Spread,16539086
2025-12-27,Esports,43121
2025-12-27,Futures/Award,3843123
2025-12-27,Game Prop,181443
2025-12-27,Mention,1902976
2025-12-27,Moneyline,210576656
2025-12-27,Other,352734
2025-12-27,Over/Under,19980709
2025-12-27,Parlay (correlated),29396192
2025-12-27,Parlay (independent),11381578
2025-12-27,Parlay (pending),3128185
2025-12-27,Player Prop,6097861
2025-12-27,Spread,28064672
2025-12-28,Esports,40165
2025-12-28,Futures/Award,4907682
2025-12-28,Game Prop,102527
2025-12-28,Mention,1833339
2025-12-28,Moneyline,200170503
2025-12-28,Other,1731310
2025-12-28,Over/Under,20003409
2025-12-28,Parlay (correlated),44680085
2025-12-28,Parlay (independent),22447108
2025-12-28,Parlay (pending),7158166
2025-12-28,Player Prop,13609408
2025-12-28,Spread,32360541
2025-12-29,Esports,48931
2025-12-29,Futures/Award,6176839
2025-12-29,Game Prop,54064
2025-12-29,Mention,1184578
2025-12-29,Moneyline,143752416
2025-12-29,Other,297768
2025-12-29,Over/Under,13176171
2025-12-29,Parlay (correlated),21558600
2025-12-29,Parlay (independent),6259625
2025-12-29,Parlay (pending),2017976
2025-12-29,Player Prop,6186531
2025-12-29,Spread,16594326
2025-12-30,Esports,56113
2025-12-30,Futures/Award,5659085
2025-12-30,Game Prop,216948
2025-12-30,Mention,858727
2025-12-30,Moneyline,130285370
2025-12-30,Other,236468
2025-12-30,Over/Under,14786888
2025-12-30,Parlay (correlated),4334413
2025-12-30,Parlay (independent),4078004
2025-12-30,Parlay (pending),290008
2025-12-30,Player Prop,232577
2025-12-30,Spread,13644488
2025-12-31,Cricket,273
2025-12-31,Esports,226557
2025-12-31,Futures/Award,6699354
2025-12-31,Game Prop,40157
2025-12-31,Mention,1357879
2025-12-31,Moneyline,203105450
2025-12-31,Other,247199
2025-12-31,Over/Under,20835795
2025-12-31,Parlay (correlated),6210338
2025-12-31,Parlay (independent),6238505
2025-12-31,Parlay (pending),3752712
2025-12-31,Player Prop,272761
2025-12-31,Spread,29629161
2026-01-01,Cricket,133301
2026-01-01,Esports,19078
2026-01-01,Futures/Award,8617631
2026-01-01,Game Prop,163541
2026-01-01,Mention,1104770
2026-01-01,Moneyline,189663566
2026-01-01,Motorsport,1
2026-01-01,Other,156557
2026-01-01,Over/Under,23773585
2026-01-01,Parlay (correlated),5921641
2026-01-01,Parlay (independent),4062176
2026-01-01,Parlay (pending),8936933
2026-01-01,Player Prop,291775
2026-01-01,Spread,33316192
2026-01-02,Cricket,2338439
2026-01-02,Futures/Award,4939357
2026-01-02,Game Prop,84074
2026-01-02,Mention,787849
2026-01-02,Moneyline,147947552
2026-01-02,Motorsport,15
2026-01-02,Other,263829
2026-01-02,Over/Under,22661222
2026-01-02,Parlay (correlated),9385178
2026-01-02,Parlay (independent),8245525
2026-01-02,Parlay (pending),505225
2026-01-02,Player Prop,720033
2026-01-02,Spread,24298308
2026-01-03,Cricket,3247313
2026-01-03,Esports,710
2026-01-03,Futures/Award,6490457
2026-01-03,Game Prop,159203
2026-01-03,Mention,1571519
2026-01-03,Moneyline,178000344
2026-01-03,Other,276650
2026-01-03,Over/Under,21712421
2026-01-03,Parlay (correlated),29057594
2026-01-03,Parlay (independent),11464837
2026-01-03,Parlay (pending),4176485
2026-01-03,Player Prop,8530985
2026-01-03,Spread,26046307
2026-01-04,Cricket,2983925
2026-01-04,Esports,3169
2026-01-04,Futures/Award,8459958
2026-01-04,Game Prop,151374
2026-01-04,Mention,1586558
2026-01-04,Moneyline,236449716
2026-01-04,Motorsport,455
2026-01-04,Other,829506
2026-01-04,Over/Under,24677900
2026-01-04,Parlay (correlated),30903025
2026-01-04,Parlay (independent),22484156
2026-01-04,Parlay (pending),6524923
2026-01-04,Player Prop,9539811
2026-01-04,Spread,36467296
2026-01-05,Cricket,7514917
2026-01-05,Esports,7567
2026-01-05,Futures/Award,13365637
2026-01-05,Game Prop,116073
2026-01-05,Mention,367946
2026-01-05,Moneyline,101862075
2026-01-05,Motorsport,45
2026-01-05,Other,364515
2026-01-05,Over/Under,9418291
2026-01-05,Parlay (correlated),7630806
2026-01-05,Parlay (independent),5200919
2026-01-05,Parlay (pending),273953
2026-01-05,Player Prop,368943
2026-01-05,Spread,9073026
2026-01-06,Cricket,3048659
2026-01-06,Esports,4178
2026-01-06,Futures/Award,7201091
2026-01-06,Game Prop,180473
2026-01-06,Mention,300457
2026-01-06,Moneyline,131094450
2026-01-06,Motorsport,50
2026-01-06,Other,628262
2026-01-06,Over/Under,10734092
2026-01-06,Parlay (correlated),7440929
2026-01-06,Parlay (independent),4299062
2026-01-06,Parlay (pending),509375
2026-01-06,Player Prop,487104
2026-01-06,Spread,9661484
2026-01-07,Cricket,1137437
2026-01-07,Esports,6936
2026-01-07,Futures/Award,5231558
2026-01-07,Game Prop,166658
2026-01-07,Mention,428227
2026-01-07,Moneyline,157534999
2026-01-07,Other,553169
2026-01-07,Over/Under,13638594
2026-01-07,Parlay (correlated),9700470
2026-01-07,Parlay (independent),8443610
2026-01-07,Parlay (pending),591302
2026-01-07,Player Prop,584977
2026-01-07,Spread,12266498
2026-01-08,Cricket,1031352
2026-01-08,Esports,15041
2026-01-08,Futures/Award,6772448
2026-01-08,Game Prop,247666
2026-01-08,Mention,940748
2026-01-08,Moneyline,145563048
2026-01-08,Motorsport,158
2026-01-08,Other,885652
2026-01-08,Over/Under,13093343
2026-01-08,Parlay (correlated),7215845
2026-01-08,Parlay (independent),4194165
2026-01-08,Parlay (pending),5969251
2026-01-08,Player Prop,487585
2026-01-08,Spread,14078422
2026-01-09,Cricket,3028543
2026-01-09,Esports,1018530
2026-01-09,Futures/Award,8593038
2026-01-09,Game Prop,166526
2026-01-09,Mention,1781880
2026-01-09,Moneyline,139783444
2026-01-09,Other,641156
2026-01-09,Over/Under,14487783
2026-01-09,Parlay (correlated),14828868
2026-01-09,Parlay (independent),8858545
2026-01-09,Parlay (pending),5623695
2026-01-09,Player Prop,905142
2026-01-09,Spread,20046378
2026-01-10,Cricket,1978931
2026-01-10,Esports,563519
2026-01-10,Futures/Award,11895810
2026-01-10,Game Prop,219001
2026-01-10,Mention,2637952
2026-01-10,Moneyline,286551075
2026-01-10,Motorsport,51
2026-01-10,Other,561652
2026-01-10,Over/Under,24050222
2026-01-10,Parlay (correlated),44232927
2026-01-10,Parlay (independent),12593916
2026-01-10,Parlay (pending),7799099
2026-01-10,Player Prop,12642549
2026-01-10,Spread,33557441
2026-01-11,Cricket,3467583
2026-01-11,Esports,641138
2026-01-11,Futures/Award,11181622
2026-01-11,Game Prop,209228
2026-01-11,Mention,4234950
2026-01-11,Moneyline,247155127
2026-01-11,Motorsport,15
2026-01-11,Other,410091
2026-01-11,Over/Under,24539993
2026-01-11,Parlay (correlated),72683237
2026-01-11,Parlay (independent),10116037
2026-01-11,Parlay (pending),11341121
2026-01-11,Player Prop,21862096
2026-01-11,Spread,34839270
2026-01-12,Esports,167775
2026-01-12,Futures/Award,8809599
2026-01-12,Game Prop,135193
2026-01-12,Mention,1740036
2026-01-12,Moneyline,129372061
2026-01-12,Motorsport,9933
2026-01-12,Other,560555
2026-01-12,Over/Under,12006213
2026-01-12,Parlay (correlated),47424110
2026-01-12,Parlay (independent),4784276
2026-01-12,Parlay (pending),3569100
2026-01-12,Player Prop,9797031
2026-01-12,Spread,14026704
2026-01-13,Cricket,36
2026-01-13,Esports,1128781
2026-01-13,Futures/Award,7529388
2026-01-13,Game Prop,172019
