date,Kalshi,ForecastEx,Polymarket_US,Crypto.com/Nadex
2021-10-31,27240,,,
2021-11-01,74103,,,
2021-11-02,87079,,,
2021-11-03,160846,,,
2021-11-04,106359,,,
2021-11-05,207166,,,
2021-11-06,78642,,,
2021-11-07,38527,,,
2021-11-08,108273,,,
2021-11-09,71663,,,
2021-11-10,69621,,,
2021-11-11,57140,,,
2021-11-12,39870,,,
2021-11-13,30902,,,
2021-11-14,45029,,,
2021-11-15,55386,,,
2021-11-16,69894,,,
2021-11-17,73349,,,
2021-11-18,106026,,,
2021-11-19,70979,,,
2021-11-20,29439,,,
2021-11-21,22131,,,
2021-11-22,71977,,,
2021-11-23,75437,,,
2021-11-24,64683,,,
2021-11-25,44731,,,
2021-11-26,64710,,,
2021-11-27,40880,,,
2021-11-28,31863,,,
2021-11-29,80264,,,
2021-11-30,110298,,,
2021-12-01,90155,,,
2021-12-02,124916,,,
2021-12-03,71003,,,
2021-12-04,39035,,,
2021-12-05,37119,,,
2021-12-06,67318,,,
2021-12-07,100953,,,
2021-12-08,59577,,,
2021-12-09,111103,,,
2021-12-10,99448,,,
2021-12-11,46303,,,
2021-12-12,40849,,,
2021-12-13,97793,,,
2021-12-14,244595,,,
2021-12-15,153930,,,
2021-12-16,108344,,,
2021-12-17,104264,,,
2021-12-18,39194,,,
2021-12-19,57304,,,
2021-12-20,160962,,,
2021-12-21,125343,,,
2021-12-22,116197,,,
2021-12-23,70350,,,
2021-12-24,90499,,,
2021-12-25,36799,,,
2021-12-26,26915,,,
2021-12-27,58479,,,
2021-12-28,205326,,,
2021-12-29,135613,,,
2021-12-30,70391,,,
2021-12-31,94052,,,
2022-01-01,43452,,,
2022-01-02,39249,,,
2022-01-03,106359,,,
2022-01-04,206436,,,
2022-01-05,163458,,,
2022-01-06,78687,,,
2022-01-07,180867,,,
2022-01-08,65586,,,
2022-01-09,61070,,,
2022-01-10,183543,,,
2022-01-11,245892,,,
2022-01-12,109310,,,
2022-01-13,181734,,,
2022-01-14,141327,,,
2022-01-15,105482,,,
2022-01-16,62070,,,
2022-01-17,96211,,,
2022-01-18,149350,,,
2022-01-19,93038,,,
2022-01-20,102328,,,
2022-01-21,64192,,,
2022-01-22,57001,,,
2022-01-23,43375,,,
2022-01-24,71091,,,
2022-01-25,70281,,,
2022-01-26,126389,,,
2022-01-27,73760,,,
2022-01-28,90883,,,
2022-01-29,61605,,,
2022-01-30,32429,,,
2022-01-31,86074,,,
2022-02-01,78201,,,
2022-02-02,79924,,,
2022-02-03,97452,,,
2022-02-04,108460,,,
2022-02-05,40032,,,
2022-02-06,56890,,,
2022-02-07,73321,,,
2022-02-08,138532,,,
2022-02-09,87110,,,
2022-02-10,164614,,,
2022-02-11,117004,,,
2022-02-12,46122,,,
2022-02-13,65466,,,
2022-02-14,74741,,,
2022-02-15,141937,,,
2022-02-16,107639,,,
2022-02-17,105045,,,
2022-02-18,73951,,,
2022-02-19,25177,,,
2022-02-20,34664,,,
2022-02-21,50725,,,
2022-02-22,100565,,,
2022-02-23,108611,,,
2022-02-24,124120,,,
2022-02-25,137864,,,
2022-02-26,27660,,,
2022-02-27,53974,,,
2022-02-28,74825,,,
2022-03-01,105911,,,
2022-03-02,119039,,,
2022-03-03,69112,,,
2022-03-04,67991,,,
2022-03-05,25574,,,
2022-03-06,33050,,,
2022-03-07,79146,,,
2022-03-08,126696,,,
2022-03-09,123614,,,
2022-03-10,121011,,,
2022-03-11,73628,,,
2022-03-12,31934,,,
2022-03-13,50171,,,
2022-03-14,108989,,,
2022-03-15,81331,,,
2022-03-16,111388,,,
2022-03-17,77387,,,
2022-03-18,71571,,,
2022-03-19,41162,,,
2022-03-20,75930,,,
2022-03-21,91825,,,
2022-03-22,105660,,,
2022-03-23,74456,,,
2022-03-24,63922,,,
2022-03-25,117921,,,
2022-03-26,26301,,,
2022-03-27,128697,,,
2022-03-28,85505,,,
2022-03-29,65826,,,
2022-03-30,56493,,,
2022-03-31,69176,,,
2022-04-01,77086,,,
2022-04-02,31047,,,
2022-04-03,159122,,,
2022-04-04,59198,,,
2022-04-05,91845,,,
2022-04-06,90483,,,
2022-04-07,51785,,,
2022-04-08,39737,,,
2022-04-09,24136,,,
2022-04-10,27645,,,
2022-04-11,81946,,,
2022-04-12,124756,,,
2022-04-13,117686,,,
2022-04-14,66920,,,
2022-04-15,49967,,,
2022-04-16,24853,,,
2022-04-17,18045,,,
2022-04-18,120543,,,
2022-04-19,106842,,,
2022-04-20,89173,,,
2022-04-21,87554,,,
2022-04-22,91048,,,
2022-04-23,45073,,,
2022-04-24,48182,,,
2022-04-25,129105,,,
2022-04-26,140114,,,
2022-04-27,176242,,,
2022-04-28,331904,,,
2022-04-29,367035,,,
2022-04-30,60634,,,
2022-05-01,73689,,,
2022-05-02,329185,,,
2022-05-03,421719,,,
2022-05-04,558283,,,
2022-05-05,530362,,,
2022-05-06,438913,,,
2022-05-07,59888,,,
2022-05-08,88312,,,
2022-05-09,342013,,,
2022-05-10,449034,,,
2022-05-11,553457,,,
2022-05-12,366060,,,
2022-05-13,235664,,,
2022-05-14,35167,,,
2022-05-15,51045,,,
2022-05-16,270107,,,
2022-05-17,276392,,,
2022-05-18,311154,,,
2022-05-19,414810,,,
2022-05-20,235539,,,
2022-05-21,56126,,,
2022-05-22,91319,,,
2022-05-23,297257,,,
2022-05-24,326492,,,
2022-05-25,328680,,,
2022-05-26,226775,,,
2022-05-27,213984,,,
2022-05-28,35152,,,
2022-05-29,74279,,,
2022-05-30,52234,,,
2022-05-31,291010,,,
2022-06-01,329806,,,
2022-06-02,329836,,,
2022-06-03,311595,,,
2022-06-04,53745,,,
2022-06-05,60467,,,
2022-06-06,354671,,,
2022-06-07,401599,,,
2022-06-08,349034,,,
2022-06-09,387970,,,
2022-06-10,562616,,,
2022-06-11,68409,,,
2022-06-12,238423,,,
2022-06-13,511244,,,
2022-06-14,536208,,,
2022-06-15,537681,,,
2022-06-16,311671,,,
2022-06-17,479062,,,
2022-06-18,131475,,,
2022-06-19,131326,,,
2022-06-20,145097,,,
2022-06-21,276000,,,
2022-06-22,408961,,,
2022-06-23,363898,,,
2022-06-24,215763,,,
2022-06-25,42168,,,
2022-06-26,106583,,,
2022-06-27,323909,,,
2022-06-28,355335,,,
2022-06-29,393273,,,
2022-06-30,639364,,,
2022-07-01,445290,,,
2022-07-02,85120,,,
2022-07-03,93136,,,
2022-07-04,54976,,,
2022-07-05,406291,,,
2022-07-06,325699,,,
2022-07-07,217075,,,
2022-07-08,378244,,,
2022-07-09,99919,,,
2022-07-10,73054,,,
2022-07-11,316567,,,
2022-07-12,458376,,,
2022-07-13,800671,,,
2022-07-14,461409,,,
2022-07-15,266221,,,
2022-07-16,67221,,,
2022-07-17,64802,,,
2022-07-18,247439,,,
2022-07-19,303993,,,
2022-07-20,317374,,,
2022-07-21,216961,,,
2022-07-22,331593,,,
2022-07-23,61183,,,
2022-07-24,74577,,,
2022-07-25,239580,,,
2022-07-26,322934,,,
2022-07-27,431688,,,
2022-07-28,405373,,,
2022-07-29,520863,,,
2022-07-30,51929,,,
2022-07-31,45511,,,
2022-08-01,280872,,,
2022-08-02,344941,,,
2022-08-03,293164,,,
2022-08-04,312822,,,
2022-08-05,369546,,,
2022-08-06,69901,,,
2022-08-07,96739,,,
2022-08-08,492767,,,
2022-08-09,438859,,,
2022-08-10,521248,,,
2022-08-11,456807,,,
2022-08-12,352904,,,
2022-08-13,93344,,,
2022-08-14,65804,,,
2022-08-15,565301,,,
2022-08-16,453023,,,
2022-08-17,423897,,,
2022-08-18,382683,,,
2022-08-19,341576,,,
2022-08-20,44171,,,
2022-08-21,115294,,,
2022-08-22,319416,,,
2022-08-23,464073,,,
2022-08-24,476607,,,
2022-08-25,461814,,,
2022-08-26,643451,,,
2022-08-27,107143,,,
2022-08-28,91826,,,
2022-08-29,429083,,,
2022-08-30,462472,,,
2022-08-31,305605,,,
2022-09-01,312484,,,
2022-09-02,404458,,,
2022-09-03,55547,,,
2022-09-04,49572,,,
2022-09-05,74205,,,
2022-09-06,540683,,,
2022-09-07,422537,,,
2022-09-08,386711,,,
2022-09-09,266370,,,
2022-09-10,92108,,,
2022-09-11,76060,,,
2022-09-12,371977,,,
2022-09-13,746002,,,
2022-09-14,378648,,,
2022-09-15,327837,,,
2022-09-16,347298,,,
2022-09-17,71840,,,
2022-09-18,69894,,,
2022-09-19,271643,,,
2022-09-20,427338,,,
2022-09-21,388227,,,
2022-09-22,350284,,,
2022-09-23,363727,,,
2022-09-24,102728,,,
2022-09-25,62053,,,
2022-09-26,291186,,,
2022-09-27,413862,,,
2022-09-28,377582,,,
2022-09-29,345175,,,
2022-09-30,290317,,,
2022-10-01,49875,,,
2022-10-02,99108,,,
2022-10-03,317636,,,
2022-10-04,334541,,,
2022-10-05,326528,,,
2022-10-06,351859,,,
2022-10-07,305481,,,
2022-10-08,64371,,,
2022-10-09,72713,,,
2022-10-10,292418,,,
2022-10-11,300165,,,
2022-10-12,411296,,,
2022-10-13,546459,,,
2022-10-14,269982,,,
2022-10-15,55908,,,
2022-10-16,83231,,,
2022-10-17,303348,,,
2022-10-18,351141,,,
2022-10-19,296455,,,
2022-10-20,371295,,,
2022-10-21,376659,,,
2022-10-22,50612,,,
2022-10-23,78291,,,
2022-10-24,328705,,,
2022-10-25,285553,,,
2022-10-26,348902,,,
2022-10-27,407670,,,
2022-10-28,252049,,,
2022-10-29,51516,,,
2022-10-30,61474,,,
2022-10-31,383960,,,
2022-11-01,282559,,,
2022-11-02,453219,,,
2022-11-03,285781,,,
2022-11-04,348856,,,
2022-11-05,95871,,,
2022-11-06,89766,,,
2022-11-07,337670,,,
2022-11-08,277319,,,
2022-11-09,265149,,,
2022-11-10,327696,,,
2022-11-11,265097,,,
2022-11-12,55948,,,
2022-11-13,60123,,,
2022-11-14,331937,,,
2022-11-15,438042,,,
2022-11-16,239626,,,
2022-11-17,251874,,,
2022-11-18,280945,,,
2022-11-19,33440,,,
2022-11-20,90406,,,
2022-11-21,241447,,,
2022-11-22,302516,,,
2022-11-23,267404,,,
2022-11-24,95171,,,
2022-11-25,135617,,,
2022-11-26,37037,,,
2022-11-27,93697,,,
2022-11-28,235898,,,
2022-11-29,336251,,,
2022-11-30,380260,,,
2022-12-01,196090,,,
2022-12-02,304785,,,
2022-12-03,64962,,,
2022-12-04,46007,,,
2022-12-05,232003,,,
2022-12-06,241130,,,
2022-12-07,299782,,,
2022-12-08,293287,,,
2022-12-09,298171,,,
2022-12-10,47282,,,
2022-12-11,69376,,,
2022-12-12,337977,,,
2022-12-13,546431,,,
2022-12-14,301862,,,
2022-12-15,303512,,,
2022-12-16,247754,,,
2022-12-17,36810,,,
2022-12-18,33729,,,
2022-12-19,245764,,,
2022-12-20,294739,,,
2022-12-21,208774,,,
2022-12-22,270908,,,
2022-12-23,226559,,,
2022-12-24,36934,,,
2022-12-25,28334,,,
2022-12-26,43109,,,
2022-12-27,167708,,,
2022-12-28,249334,,,
2022-12-29,180368,,,
2022-12-30,218026,,,
2022-12-31,26659,,,
2023-01-01,24975,,,
2023-01-02,65490,,,
2023-01-03,215278,,,
2023-01-04,228202,,,
2023-01-05,216076,,,
2023-01-06,294632,,,
2023-01-07,42102,,,
2023-01-08,52469,,,
2023-01-09,215884,,,
2023-01-10,201848,,,
2023-01-11,209839,,,
2023-01-12,283688,,,
2023-01-13,179879,,,
2023-01-14,18444,,,
2023-01-15,16033,,,
2023-01-16,51963,,,
2023-01-17,75230,,,
2023-01-18,215767,,,
2023-01-19,179084,,,
2023-01-20,193611,,,
2023-01-21,29928,,,
2023-01-22,51279,,,
2023-01-23,176290,,,
2023-01-24,168124,,,
2023-01-25,314035,,,
2023-01-26,231494,,,
2023-01-27,226366,,,
2023-01-28,32412,,,
2023-01-29,43368,,,
2023-01-30,194006,,,
2023-01-31,199409,,,
2023-02-01,252158,,,
2023-02-02,362031,,,
2023-02-03,332884,,,
2023-02-04,37835,,,
2023-02-05,66941,,,
2023-02-06,183061,,,
2023-02-07,223330,,,
2023-02-08,196400,,,
2023-02-09,171214,,,
2023-02-10,195871,,,
2023-02-11,34116,,,
2023-02-12,31486,,,
2023-02-13,188148,,,
2023-02-14,370916,,,
2023-02-15,261781,,,
2023-02-16,236476,,,
2023-02-17,139360,,,
2023-02-18,17382,,,
2023-02-19,38942,,,
2023-02-20,67234,,,
2023-02-21,155642,,,
2023-02-22,185609,,,
2023-02-23,162990,,,
2023-02-24,227135,,,
2023-02-25,31769,,,
2023-02-26,76642,,,
2023-02-27,274386,,,
2023-02-28,351936,,,
2023-03-01,376412,,,
2023-03-02,261060,,,
2023-03-03,226819,,,
2023-03-04,43733,,,
2023-03-05,37272,,,
2023-03-06,296060,,,
2023-03-07,423763,,,
2023-03-08,412755,,,
2023-03-09,668775,,,
2023-03-10,559788,,,
2023-03-11,56412,,,
2023-03-12,193569,,,
2023-03-13,706186,,,
2023-03-14,527391,,,
2023-03-15,697112,,,
2023-03-16,466932,,,
2023-03-17,378653,,,
2023-03-18,49308,,,
2023-03-19,85752,,,
2023-03-20,330767,,,
2023-03-21,425694,,,
2023-03-22,500425,,,
2023-03-23,531574,,,
2023-03-24,377951,,,
2023-03-25,29147,,,
2023-03-26,57163,,,
2023-03-27,383753,,,
2023-03-28,291679,,,
2023-03-29,375726,,,
2023-03-30,360923,,,
2023-03-31,373903,,,
2023-04-01,63079,,,
2023-04-02,34378,,,
2023-04-03,338310,,,
2023-04-04,480984,,,
2023-04-05,564018,,,
2023-04-06,544373,,,
2023-04-07,429490,,,
2023-04-08,237256,,,
2023-04-09,395507,,,
2023-04-10,588974,,,
2023-04-11,391039,,,
2023-04-12,588052,,,
2023-04-13,387253,,,
2023-04-14,526810,,,
2023-04-15,93606,,,
2023-04-16,70229,,,
2023-04-17,381047,,,
2023-04-18,493561,,,
2023-04-19,601627,,,
2023-04-20,544058,,,
2023-04-21,392772,,,
2023-04-22,148345,,,
2023-04-23,187207,,,
2023-04-24,465816,,,
2023-04-25,652108,,,
2023-04-26,501308,,,
2023-04-27,538365,,,
2023-04-28,425229,,,
2023-04-29,240813,,,
2023-04-30,190857,,,
2023-05-01,498535,,,
2023-05-02,978372,,,
2023-05-03,1198725,,,
2023-05-04,785221,,,
2023-05-05,660159,,,
2023-05-06,87023,,,
2023-05-07,118785,,,
2023-05-08,391339,,,
2023-05-09,406381,,,
2023-05-10,546328,,,
2023-05-11,363049,,,
2023-05-12,336623,,,
2023-05-13,59951,,,
2023-05-14,78256,,,
2023-05-15,489226,,,
2023-05-16,659543,,,
2023-05-17,740884,,,
2023-05-18,872986,,,
2023-05-19,810313,,,
2023-05-20,213064,,,
2023-05-21,244428,,,
2023-05-22,861540,,,
2023-05-23,1053122,,,
2023-05-24,1170285,,,
2023-05-25,1334612,,,
2023-05-26,912250,,,
2023-05-27,270029,,,
2023-05-28,307424,,,
2023-05-29,329105,,,
2023-05-30,1045289,,,
2023-05-31,1153571,,,
2023-06-01,1098139,,,
2023-06-02,1053247,,,
2023-06-03,133831,,,
2023-06-04,178910,,,
2023-06-05,924428,,,
2023-06-06,803788,,,
2023-06-07,883181,,,
2023-06-08,725001,,,
2023-06-09,670020,,,
2023-06-10,181781,,,
2023-06-11,191155,,,
2023-06-12,622837,,,
2023-06-13,1214558,,,
2023-06-14,1265029,,,
2023-06-15,821042,,,
2023-06-16,719336,,,
2023-06-17,173896,,,
2023-06-18,276197,,,
2023-06-19,224352,,,
2023-06-20,716990,,,
2023-06-21,1172532,,,
2023-06-22,888110,,,
2023-06-23,802807,,,
2023-06-24,193684,,,
2023-06-25,173106,,,
2023-06-26,1200289,,,
2023-06-27,1109973,,,
2023-06-28,967779,,,
2023-06-29,1073951,,,
2023-06-30,735343,,,
2023-07-01,176869,,,
2023-07-02,138248,,,
2023-07-03,684585,,,
2023-07-04,233391,,,
2023-07-05,821355,,,
2023-07-06,1052637,,,
2023-07-07,946164,,,
2023-07-08,217385,,,
2023-07-09,194318,,,
2023-07-10,864197,,,
2023-07-11,632668,,,
2023-07-12,993666,,,
2023-07-13,717809,,,
2023-07-14,673284,,,
2023-07-15,177969,,,
2023-07-16,155972,,,
2023-07-17,681003,,,
2023-07-18,750881,,,
2023-07-19,878867,,,
2023-07-20,862132,,,
2023-07-21,757768,,,
2023-07-22,122612,,,
2023-07-23,298877,,,
2023-07-24,803302,,,
2023-07-25,744761,,,
2023-07-26,760643,,,
2023-07-27,968368,,,
2023-07-28,721506,,,
2023-07-29,180477,,,
2023-07-30,156308,,,
2023-07-31,567129,,,
2023-08-01,566613,,,
2023-08-02,825201,,,
2023-08-03,527053,,,
2023-08-04,1031873,,,
2023-08-05,218609,,,
2023-08-06,138477,,,
2023-08-07,911863,,,
2023-08-08,738513,,,
2023-08-09,995781,,,
2023-08-10,740216,,,
2023-08-11,660275,,,
2023-08-12,166987,,,
2023-08-13,226952,,,
2023-08-14,534098,,,
2023-08-15,624062,,,
2023-08-16,716295,,,
2023-08-17,582665,,,
2023-08-18,614589,,,
2023-08-19,96706,,,
2023-08-20,129770,,,
2023-08-21,498217,,,
2023-08-22,502229,,,
2023-08-23,520574,,,
2023-08-24,668445,,,
2023-08-25,781209,,,
2023-08-26,115005,,,
2023-08-27,165492,,,
2023-08-28,445055,,,
2023-08-29,497862,,,
2023-08-30,644293,,,
2023-08-31,576698,,,
2023-09-01,626537,,,
2023-09-02,258987,,,
2023-09-03,317327,,,
2023-09-04,208081,,,
2023-09-05,510130,,,
2023-09-06,1058324,,,
2023-09-07,784634,,,
2023-09-08,506253,,,
2023-09-09,262783,,,
2023-09-10,145688,,,
2023-09-11,482490,,,
2023-09-12,666238,,,
2023-09-13,822671,,,
2023-09-14,775063,,,
2023-09-15,527810,,,
2023-09-16,340477,,,
2023-09-17,162245,,,
2023-09-18,559102,,,
2023-09-19,542847,,,
2023-09-20,856663,,,
2023-09-21,620809,,,
2023-09-22,584188,,,
2023-09-23,211227,,,
2023-09-24,405808,,,
2023-09-25,957297,,,
2023-09-26,607254,,,
2023-09-27,802223,,,
2023-09-28,737259,,,
2023-09-29,1064468,,,
2023-09-30,453677,,,
2023-10-01,241366,,,
2023-10-02,1236217,,,
2023-10-03,948144,,,
2023-10-04,1303726,,,
2023-10-05,809131,,,
2023-10-06,981594,,,
2023-10-07,598324,,,
2023-10-08,496486,,,
2023-10-09,921768,,,
2023-10-10,741780,,,
2023-10-11,1244400,,,
2023-10-12,831688,,,
2023-10-13,964284,,,
2023-10-14,549754,,,
2023-10-15,337535,,,
2023-10-16,791952,,,
2023-10-17,1123003,,,
2023-10-18,807126,,,
2023-10-19,949119,,,
2023-10-20,1126480,,,
2023-10-21,1109601,,,
2023-10-22,375016,,,
2023-10-23,876731,,,
2023-10-24,1421925,,,
2023-10-25,1248776,,,
2023-10-26,848462,,,
2023-10-27,902644,,,
2023-10-28,298765,,,
2023-10-29,218789,,,
2023-10-30,857738,,,
2023-10-31,913421,,,
2023-11-01,1088636,,,
2023-11-02,725503,,,
2023-11-03,1151417,,,
2023-11-04,428648,,,
2023-11-05,563184,,,
2023-11-06,1071594,,,
2023-11-07,1038905,,,
2023-11-08,798560,,,
2023-11-09,1147839,,,
2023-11-10,827061,,,
2023-11-11,314677,,,
2023-11-12,258876,,,
2023-11-13,580352,,,
2023-11-14,1161990,,,
2023-11-15,628873,,,
2023-11-16,767681,,,
2023-11-17,666131,,,
2023-11-18,433660,,,
2023-11-19,327123,,,
2023-11-20,644697,,,
2023-11-21,680117,,,
2023-11-22,814914,,,
2023-11-23,156786,,,
2023-11-24,220446,,,
2023-11-25,73234,,,
2023-11-26,100465,,,
2023-11-27,654523,,,
2023-11-28,822323,,,
2023-11-29,826896,,,
2023-11-30,1095175,,,
2023-12-01,765509,,,
2023-12-02,74707,,,
2023-12-03,94456,,,
2023-12-04,646972,,,
2023-12-05,750547,,,
2023-12-06,843028,,,
2023-12-07,523096,,,
2023-12-08,772620,,,
2023-12-09,148696,,,
2023-12-10,87993,,,
2023-12-11,592003,,,
2023-12-12,570841,,,
2023-12-13,1034006,,,
2023-12-14,802389,,,
2023-12-15,786362,,,
2023-12-16,179367,,,
2023-12-17,154252,,,
2023-12-18,467625,,,
2023-12-19,502167,,,
2023-12-20,793555,,,
2023-12-21,588818,,,
2023-12-22,580610,,,
2023-12-23,44714,,,
2023-12-24,35309,,,
2023-12-25,116024,,,
2023-12-26,384381,,,
2023-12-27,470483,,,
2023-12-28,370680,,,
2023-12-29,564901,,,
2023-12-30,288225,,,
2023-12-31,164731,,,
2024-01-01,152546,,,
2024-01-02,821074,,,
2024-01-03,947517,,,
2024-01-04,523084,,,
2024-01-05,847568,,,
2024-01-06,92759,,,
2024-01-07,100286,,,
2024-01-08,520901,,,
2024-01-09,694363,,,
2024-01-10,780563,,,
2024-01-11,1085022,,,
2024-01-12,838863,,,
2024-01-13,81787,,,
2024-01-14,126418,,,
2024-01-15,256083,,,
2024-01-16,870795,,,
2024-01-17,680209,,,
2024-01-18,634430,,,
2024-01-19,547552,,,
2024-01-20,274386,,,
2024-01-21,131165,,,
2024-01-22,777673,,,
2024-01-23,622652,,,
2024-01-24,723477,,,
2024-01-25,769130,,,
2024-01-26,610268,,,
2024-01-27,100404,,,
2024-01-28,93350,,,
2024-01-29,661083,,,
2024-01-30,653195,,,
2024-01-31,1392543,,,
2024-02-01,998126,,,
2024-02-02,1137505,,,
2024-02-03,74618,,,
2024-02-04,277016,,,
2024-02-05,682354,,,
2024-02-06,716724,,,
2024-02-07,589130,,,
2024-02-08,662497,,,
2024-02-09,512595,,,
2024-02-10,165306,,,
2024-02-11,97345,,,
2024-02-12,763124,,,
2024-02-13,1350974,,,
2024-02-14,977679,,,
2024-02-15,661061,,,
2024-02-16,993581,,,
2024-02-17,122403,,,
2024-02-18,121118,,,
2024-02-19,156507,,,
2024-02-20,823597,,,
2024-02-21,828668,,,
2024-02-22,824423,,,
2024-02-23,936238,,,
2024-02-24,155313,,,
2024-02-25,119218,,,
2024-02-26,644500,,,
2024-02-27,735480,,,
2024-02-28,854499,,,
2024-02-29,964603,,,
2024-03-01,803751,,,
2024-03-02,90896,,,
2024-03-03,135778,,,
2024-03-04,1049118,,,
2024-03-05,1355268,,,
2024-03-06,1714705,,,
2024-03-07,1078341,,,
2024-03-08,1763284,,,
2024-03-09,230988,,,
2024-03-10,361160,,,
2024-03-11,1671216,,,
2024-03-12,952973,,,
2024-03-13,1214124,,,
2024-03-14,796826,,,
2024-03-15,1392889,,,
2024-03-16,163318,,,
2024-03-17,645294,,,
2024-03-18,1854192,,,
2024-03-19,1569282,,,
2024-03-20,1430508,,,
2024-03-21,1363749,,,
2024-03-22,1424829,,,
2024-03-23,220665,,,
2024-03-24,274606,,,
2024-03-25,1266590,,,
2024-03-26,1254398,,,
2024-03-27,1420878,,,
2024-03-28,1097816,,,
2024-03-29,277051,,,
2024-03-30,607133,,,
2024-03-31,757609,,,
2024-04-01,1641073,,,
2024-04-02,829717,,,
2024-04-03,1680445,,,
2024-04-04,2587982,,,
2024-04-05,1629270,,,
2024-04-06,272208,,,
2024-04-07,831536,,,
2024-04-08,1252164,,,
2024-04-09,1270611,,,
2024-04-10,1581541,,,
2024-04-11,1053842,,,
2024-04-12,1050793,,,
2024-04-13,114451,,,
2024-04-14,421699,,,
2024-04-15,1519369,,,
2024-04-16,1179174,,,
2024-04-17,1111731,,,
2024-04-18,1060126,,,
2024-04-19,1141241,,,
2024-04-20,163090,,,
2024-04-21,1590415,,,
2024-04-22,1499082,,,
2024-04-23,962949,,,
2024-04-24,793709,,,
2024-04-25,876099,,,
2024-04-26,918112,,,
2024-04-27,740581,,,
2024-04-28,347184,,,
2024-04-29,1245742,,,
2024-04-30,1471676,,,
2024-05-01,826970,,,
2024-05-02,882702,,,
2024-05-03,1365291,,,
2024-05-04,434036,,,
2024-05-05,643911,,,
2024-05-06,1388141,,,
2024-05-07,874583,,,
2024-05-08,827475,,,
2024-05-09,929476,,,
2024-05-10,1137585,,,
2024-05-11,237457,,,
2024-05-12,172891,,,
2024-05-13,1082652,,,
2024-05-14,2372101,,,
2024-05-15,2449766,,,
2024-05-16,1120942,,,
2024-05-17,1117679,,,
2024-05-18,345962,,,
2024-05-19,957213,,,
2024-05-20,1060575,,,
2024-05-21,1329460,,,
2024-05-22,1037766,,,
2024-05-23,856561,,,
2024-05-24,974446,,,
2024-05-25,259654,,,
2024-05-26,482838,,,
2024-05-27,135052,,,
2024-05-28,766369,,,
2024-05-29,1287020,,,
2024-05-30,1634872,,,
